ensgene,WT1,WT2,WT3,KO1,KO2,KO3
ENSMUSG00000042055,1350 ,1011 ,989 ,1302 ,1083 ,1069 
ENSMUSG00000097639,280 ,226 ,200 ,275 ,216 ,261 
ENSMUSG00000025417,1877 ,1437 ,1226 ,1589 ,1363 ,1375 
ENSMUSG00000031651,356 ,243 ,248 ,261 ,273 ,244 
ENSMUSG00000029463,691 ,501 ,507 ,590 ,622 ,560 
ENSMUSG00000026646,871 ,693 ,686 ,790 ,679 ,677 
ENSMUSG00000075271,395 ,285 ,297 ,324 ,417 ,301 
ENSMUSG00000030443,143 ,79 ,80 ,140 ,98 ,94 
ENSMUSG00000021938,2615 ,1942 ,1831 ,2363 ,1969 ,2213 
ENSMUSG00000026874,10 ,8 ,8 ,6 ,5 ,7 
ENSMUSG00000073437,20 ,41 ,13 ,28 ,9 ,21 
ENSMUSG00000027365,3398 ,2635 ,2594 ,3285 ,2678 ,2888 
ENSMUSG00000028270,1014 ,838 ,745 ,1428 ,600 ,1012 
ENSMUSG00000054619,457 ,332 ,349 ,486 ,273 ,302 
ENSMUSG00000046785,734 ,575 ,596 ,680 ,691 ,623 
ENSMUSG00000007038,688 ,483 ,447 ,609 ,410 ,497 
ENSMUSG00000037465,1775 ,1266 ,1244 ,1825 ,1222 ,1419 
ENSMUSG00000096006,69 ,80 ,53 ,64 ,85 ,81 
ENSMUSG00000031781,2217 ,1761 ,1651 ,2070 ,1705 ,1651 
ENSMUSG00000074006,43 ,42 ,32 ,47 ,41 ,48 
ENSMUSG00000030291,574 ,456 ,478 ,535 ,479 ,410 
ENSMUSG00000032623,7 ,3 ,7 ,11 ,2 ,13 
ENSMUSG00000103039,42 ,28 ,23 ,34 ,19 ,23 
ENSMUSG00000042105,894 ,754 ,722 ,957 ,689 ,847 
ENSMUSG00000031353,9835 ,7712 ,7219 ,9418 ,6942 ,7613 
ENSMUSG00000046139,1920 ,1526 ,1339 ,1723 ,1594 ,1596 
ENSMUSG00000097887,21 ,32 ,16 ,19 ,18 ,18 
ENSMUSG00000032278,12 ,8 ,12 ,16 ,3 ,4 
ENSMUSG00000097080,10 ,4 ,9 ,13 ,8 ,11 
ENSMUSG00000068614,22 ,9 ,16 ,14 ,18 ,27 
ENSMUSG00000059401,20 ,13 ,13 ,22 ,13 ,23 
ENSMUSG00000040188,982 ,804 ,680 ,819 ,830 ,666 
ENSMUSG00000027864,2404 ,1952 ,1758 ,2296 ,1950 ,2027 
ENSMUSG00000012429,446 ,370 ,336 ,363 ,389 ,319 
ENSMUSG00000047379,367 ,269 ,245 ,319 ,230 ,270 
ENSMUSG00000029134,7 ,8 ,6 ,15 ,3 ,13 
ENSMUSG00000034687,281 ,184 ,213 ,292 ,105 ,210 
ENSMUSG00000097151,7 ,3 ,4 ,7 ,3 ,11 
ENSMUSG00000109887,49 ,39 ,31 ,39 ,44 ,54 
ENSMUSG00000028953,6757 ,5186 ,4677 ,6207 ,4803 ,5043 
ENSMUSG00000113128,19 ,11 ,13 ,11 ,12 ,9 
ENSMUSG00000026754,260 ,184 ,186 ,247 ,219 ,204 
ENSMUSG00000018548,3862 ,2885 ,2696 ,3314 ,2928 ,2838 
ENSMUSG00000039307,381 ,310 ,283 ,328 ,286 ,298 
ENSMUSG00000075705,467 ,335 ,356 ,413 ,369 ,300 
ENSMUSG00000025961,10 ,4 ,7 ,7 ,14 ,8 
ENSMUSG00000028999,571 ,395 ,366 ,513 ,463 ,413 
ENSMUSG00000038742,74 ,53 ,44 ,55 ,49 ,43 
ENSMUSG00000027075,522 ,442 ,424 ,462 ,543 ,464 
ENSMUSG00000032405,1174 ,934 ,879 ,1049 ,887 ,923 
ENSMUSG00000034108,518 ,391 ,344 ,435 ,399 ,336 
ENSMUSG00000097197,23 ,23 ,17 ,28 ,24 ,25 
ENSMUSG00000028066,1633 ,1225 ,1193 ,1400 ,1271 ,1202 
ENSMUSG00000028218,586 ,479 ,433 ,533 ,472 ,409 
ENSMUSG00000052392,11 ,8 ,7 ,14 ,10 ,11 
ENSMUSG00000073077,15 ,15 ,9 ,13 ,6 ,10 
ENSMUSG00000002908,93 ,65 ,48 ,72 ,56 ,50 
ENSMUSG00000054517,41 ,40 ,35 ,22 ,31 ,42 
ENSMUSG00000007777,538 ,408 ,482 ,506 ,409 ,433 
ENSMUSG00000027808,2962 ,2339 ,2221 ,2921 ,2227 ,2613 
ENSMUSG00000028676,6122 ,4854 ,4725 ,6027 ,4907 ,5148 
ENSMUSG00000021264,2922 ,2212 ,2103 ,2602 ,2510 ,2306 
ENSMUSG00000016529,12 ,7 ,6 ,10 ,6 ,18 
ENSMUSG00000021468,914 ,704 ,629 ,871 ,754 ,702 
ENSMUSG00000085562,5 ,6 ,3 ,8 ,8 ,5 
ENSMUSG00000074646,7 ,4 ,11 ,9 ,3 ,3 
ENSMUSG00000030788,883 ,610 ,587 ,835 ,655 ,666 
ENSMUSG00000032584,33 ,24 ,24 ,26 ,16 ,24 
ENSMUSG00000027933,4318 ,3288 ,3071 ,3760 ,3352 ,3167 
ENSMUSG00000046807,7 ,12 ,11 ,9 ,6 ,7 
ENSMUSG00000033760,1229 ,990 ,944 ,1143 ,1151 ,992 
ENSMUSG00000095937,10636 ,8736 ,8049 ,10399 ,8874 ,8764 
ENSMUSG00000039478,119 ,123 ,102 ,142 ,118 ,120 
ENSMUSG00000035725,607 ,475 ,360 ,424 ,444 ,456 
ENSMUSG00000002109,190 ,140 ,153 ,186 ,170 ,164 
ENSMUSG00000041323,343 ,252 ,335 ,383 ,321 ,301 
ENSMUSG00000048495,459 ,382 ,392 ,499 ,394 ,412 
ENSMUSG00000021510,587 ,428 ,456 ,536 ,525 ,478 
ENSMUSG00000053012,449 ,361 ,334 ,456 ,368 ,378 
ENSMUSG00000044148,921 ,691 ,622 ,827 ,755 ,725 
ENSMUSG00000032565,70 ,49 ,46 ,76 ,44 ,68 
ENSMUSG00000029415,4528 ,3413 ,3285 ,4342 ,3535 ,3584 
ENSMUSG00000050017,3394 ,2764 ,2541 ,3240 ,2585 ,2594 
ENSMUSG00000004931,1160 ,883 ,809 ,1062 ,782 ,876 
ENSMUSG00000022790,171 ,108 ,110 ,157 ,67 ,120 
ENSMUSG00000024070,1916 ,1543 ,1427 ,1532 ,1654 ,1426 
ENSMUSG00000109608,6 ,5 ,3 ,10 ,5 ,6 
ENSMUSG00000074671,234 ,167 ,158 ,180 ,182 ,147 
ENSMUSG00000025735,21 ,8 ,7 ,16 ,10 ,20 
ENSMUSG00000030188,336 ,242 ,239 ,320 ,263 ,279 
ENSMUSG00000021203,213 ,155 ,134 ,182 ,109 ,163 
ENSMUSG00000074656,17088 ,13793 ,12982 ,13962 ,14832 ,12913 
ENSMUSG00000074513,1030 ,861 ,765 ,969 ,779 ,794 
ENSMUSG00000032549,372 ,278 ,324 ,333 ,305 ,272 
ENSMUSG00000053310,51 ,44 ,37 ,47 ,55 ,49 
ENSMUSG00000027624,1088 ,797 ,740 ,1090 ,748 ,898 
ENSMUSG00000051506,6 ,7 ,1 ,13 ,5 ,4 
ENSMUSG00000013833,1288 ,976 ,895 ,1129 ,948 ,942 
ENSMUSG00000108825,7 ,6 ,10 ,8 ,5 ,3 
ENSMUSG00000041449,8 ,7 ,5 ,5 ,6 ,2 
ENSMUSG00000022194,6658 ,5173 ,4840 ,5766 ,4959 ,5355 
ENSMUSG00000112790,37 ,28 ,25 ,26 ,23 ,25 
ENSMUSG00000041133,5544 ,4273 ,4197 ,5185 ,3942 ,4425 
ENSMUSG00000028973,861 ,683 ,630 ,755 ,670 ,644 
ENSMUSG00000066042,278 ,237 ,214 ,272 ,260 ,243 
ENSMUSG00000003134,254 ,175 ,190 ,182 ,257 ,226 
ENSMUSG00000031333,1549 ,1156 ,1092 ,1231 ,1221 ,1146 
ENSMUSG00000108420,9 ,9 ,18 ,10 ,8 ,9 
ENSMUSG00000104761,7 ,14 ,5 ,9 ,12 ,15 
ENSMUSG00000016382,2396 ,1786 ,1685 ,2329 ,1780 ,1916 
ENSMUSG00000058258,4775 ,3767 ,3396 ,4554 ,3296 ,3662 
ENSMUSG00000016409,736 ,584 ,535 ,656 ,512 ,592 
ENSMUSG00000033900,652 ,489 ,478 ,528 ,505 ,492 
ENSMUSG00000113523,19 ,16 ,14 ,17 ,8 ,13 
ENSMUSG00000022525,20 ,14 ,15 ,19 ,9 ,10 
ENSMUSG00000097375,80 ,68 ,59 ,87 ,88 ,58 
ENSMUSG00000020409,2746 ,2117 ,2082 ,2771 ,2217 ,2162 
ENSMUSG00000061104,2508 ,1884 ,1889 ,2409 ,2139 ,1918 
ENSMUSG00000029752,3858 ,3078 ,2815 ,3911 ,2553 ,2901 
ENSMUSG00000043467,1019 ,726 ,703 ,913 ,707 ,708 
ENSMUSG00000062132,18 ,17 ,19 ,21 ,11 ,11 
ENSMUSG00000020744,1050 ,794 ,732 ,927 ,783 ,745 
ENSMUSG00000003623,665 ,545 ,469 ,662 ,580 ,512 
ENSMUSG00000024767,2306 ,1789 ,1746 ,2159 ,1985 ,1856 
ENSMUSG00000035623,2668 ,1970 ,1918 ,2479 ,2009 ,2226 
ENSMUSG00000078938,7 ,3 ,10 ,17 ,6 ,7 
ENSMUSG00000028661,114 ,102 ,97 ,136 ,50 ,93 
ENSMUSG00000027007,691 ,474 ,504 ,621 ,597 ,521 
ENSMUSG00000071341,23 ,12 ,16 ,24 ,12 ,28 
ENSMUSG00000024959,227 ,178 ,164 ,193 ,176 ,155 
ENSMUSG00000010609,396 ,281 ,314 ,391 ,350 ,307 
ENSMUSG00000039676,232 ,202 ,186 ,209 ,172 ,194 
ENSMUSG00000039990,1581 ,1209 ,1213 ,1473 ,1158 ,1219 
ENSMUSG00000095687,142 ,134 ,94 ,110 ,44 ,159 
ENSMUSG00000045316,129 ,97 ,115 ,134 ,106 ,135 
ENSMUSG00000024587,7909 ,6057 ,5767 ,8495 ,5533 ,6532 
ENSMUSG00000090394,21 ,25 ,19 ,28 ,21 ,31 
ENSMUSG00000062031,411 ,274 ,313 ,337 ,275 ,317 
ENSMUSG00000025580,7072 ,5442 ,5063 ,6623 ,5635 ,5618 
ENSMUSG00000068742,1049 ,741 ,725 ,757 ,787 ,805 
ENSMUSG00000096107,15 ,7 ,8 ,10 ,7 ,4 
ENSMUSG00000005043,220 ,180 ,148 ,165 ,153 ,181 
ENSMUSG00000090981,12 ,7 ,21 ,13 ,11 ,6 
ENSMUSG00000078630,34 ,20 ,22 ,18 ,26 ,16 
ENSMUSG00000030030,20 ,22 ,18 ,13 ,21 ,13 
ENSMUSG00000086796,14 ,10 ,9 ,12 ,4 ,8 
ENSMUSG00000031889,1430 ,1141 ,1036 ,1079 ,1238 ,1058 
ENSMUSG00000062949,556 ,423 ,431 ,460 ,443 ,424 
ENSMUSG00000026659,742 ,582 ,589 ,723 ,634 ,634 
ENSMUSG00000032050,5541 ,4280 ,4191 ,5471 ,4242 ,4656 
ENSMUSG00000019832,83 ,63 ,53 ,67 ,71 ,83 
ENSMUSG00000108736,13 ,5 ,4 ,7 ,2 ,5 
ENSMUSG00000031568,1141 ,892 ,818 ,1101 ,834 ,788 
ENSMUSG00000057378,243 ,195 ,166 ,222 ,232 ,190 
ENSMUSG00000048040,556 ,496 ,367 ,567 ,447 ,479 
ENSMUSG00000031029,4665 ,3554 ,3351 ,4073 ,3532 ,3571 
ENSMUSG00000020185,1053 ,813 ,855 ,1087 ,854 ,892 
ENSMUSG00000054999,39 ,29 ,36 ,59 ,27 ,39 
ENSMUSG00000097052,118 ,84 ,81 ,105 ,80 ,68 
ENSMUSG00000112640,150 ,108 ,72 ,126 ,147 ,89 
ENSMUSG00000090235,40 ,22 ,26 ,30 ,20 ,22 
ENSMUSG00000028086,1456 ,1138 ,1075 ,1365 ,1207 ,1200 
ENSMUSG00000040373,4 ,7 ,8 ,12 ,7 ,9 
ENSMUSG00000073639,2476 ,1967 ,1831 ,2231 ,1887 ,1937 
ENSMUSG00000097785,12 ,6 ,7 ,10 ,5 ,2 
ENSMUSG00000078572,443 ,333 ,339 ,400 ,335 ,315 
ENSMUSG00000040322,704 ,601 ,563 ,639 ,600 ,534 
ENSMUSG00000002475,25 ,16 ,20 ,16 ,12 ,20 
ENSMUSG00000021090,97 ,83 ,74 ,84 ,65 ,78 
ENSMUSG00000023021,1517 ,1077 ,1038 ,1662 ,953 ,1227 
ENSMUSG00000027981,564 ,414 ,380 ,499 ,439 ,474 
ENSMUSG00000021615,248 ,197 ,189 ,259 ,147 ,181 
ENSMUSG00000062867,11171 ,8536 ,7871 ,9507 ,8887 ,8101 
ENSMUSG00000097737,23 ,12 ,24 ,27 ,23 ,23 
ENSMUSG00000085241,364 ,319 ,299 ,339 ,300 ,285 
ENSMUSG00000068299,84 ,66 ,74 ,68 ,80 ,48 
ENSMUSG00000085565,16 ,6 ,8 ,4 ,10 ,6 
ENSMUSG00000051721,383 ,313 ,284 ,355 ,275 ,292 
ENSMUSG00000030069,6 ,0 ,10 ,7 ,7 ,11 
ENSMUSG00000031320,32785 ,26280 ,24189 ,31218 ,25082 ,24692 
ENSMUSG00000024357,460 ,368 ,371 ,530 ,322 ,433 
ENSMUSG00000002814,1409 ,1012 ,980 ,1282 ,1083 ,1125 
ENSMUSG00000037722,1217 ,1022 ,938 ,1174 ,1163 ,970 
ENSMUSG00000024163,1674 ,1259 ,1231 ,1443 ,1316 ,1227 
ENSMUSG00000078861,164 ,132 ,100 ,131 ,114 ,113 
ENSMUSG00000056185,18 ,21 ,15 ,24 ,20 ,23 
ENSMUSG00000023140,36 ,27 ,37 ,37 ,29 ,18 
ENSMUSG00000023960,256 ,186 ,169 ,244 ,188 ,217 
ENSMUSG00000051579,2266 ,1798 ,1822 ,2269 ,1925 ,1877 
ENSMUSG00000111497,521 ,345 ,400 ,398 ,327 ,445 
ENSMUSG00000081752,358 ,227 ,196 ,331 ,125 ,239 
ENSMUSG00000057561,5490 ,4450 ,4007 ,5170 ,4168 ,4188 
ENSMUSG00000054452,2046 ,1493 ,1533 ,1751 ,1845 ,1636 
ENSMUSG00000029676,985 ,686 ,675 ,936 ,735 ,754 
ENSMUSG00000004233,181 ,166 ,144 ,191 ,181 ,158 
ENSMUSG00000047370,344 ,226 ,345 ,304 ,382 ,309 
ENSMUSG00000005983,35 ,25 ,24 ,27 ,17 ,25 
ENSMUSG00000027099,696 ,498 ,456 ,617 ,478 ,462 
ENSMUSG00000004285,1522 ,1240 ,1164 ,1415 ,1262 ,1081 
ENSMUSG00000035572,418 ,380 ,305 ,409 ,392 ,362 
ENSMUSG00000079470,1624 ,1250 ,1080 ,1748 ,1055 ,1357 
ENSMUSG00000038718,360 ,292 ,248 ,313 ,274 ,254 
ENSMUSG00000028344,228 ,189 ,170 ,199 ,158 ,186 
ENSMUSG00000074210,26 ,25 ,11 ,7 ,25 ,13 
ENSMUSG00000004221,665 ,491 ,417 ,634 ,503 ,499 
ENSMUSG00000021241,301 ,250 ,240 ,283 ,272 ,283 
ENSMUSG00000108053,22 ,11 ,15 ,12 ,7 ,17 
ENSMUSG00000035596,1806 ,1303 ,1286 ,1507 ,1336 ,1360 
ENSMUSG00000035215,1393 ,1112 ,1050 ,1329 ,1075 ,1012 
ENSMUSG00000110896,269 ,190 ,214 ,221 ,195 ,207 
ENSMUSG00000035234,411 ,354 ,319 ,404 ,295 ,325 
ENSMUSG00000054364,1240 ,894 ,815 ,1122 ,935 ,972 
ENSMUSG00000067194,4181 ,3325 ,3083 ,4180 ,3201 ,3484 
ENSMUSG00000047656,47 ,31 ,35 ,31 ,39 ,24 
ENSMUSG00000101009,11 ,15 ,12 ,11 ,10 ,8 
ENSMUSG00000057000,77 ,66 ,47 ,76 ,56 ,81 
ENSMUSG00000109017,4 ,12 ,5 ,3 ,5 ,6 
ENSMUSG00000037772,266 ,169 ,162 ,218 ,188 ,135 
ENSMUSG00000031197,2002 ,1505 ,1488 ,1830 ,1484 ,1500 
ENSMUSG00000052560,127 ,94 ,84 ,111 ,62 ,99 
ENSMUSG00000042496,1190 ,987 ,890 ,1097 ,1060 ,1013 
ENSMUSG00000000876,185 ,124 ,131 ,136 ,133 ,130 
ENSMUSG00000036598,21 ,17 ,13 ,11 ,38 ,15 
ENSMUSG00000027855,129 ,103 ,90 ,161 ,92 ,104 
ENSMUSG00000036820,664 ,544 ,470 ,645 ,563 ,537 
ENSMUSG00000000555,2765 ,2107 ,1949 ,2751 ,1994 ,2282 
ENSMUSG00000103821,17 ,14 ,14 ,8 ,13 ,13 
ENSMUSG00000025545,401 ,311 ,277 ,296 ,336 ,280 
ENSMUSG00000031570,208 ,170 ,191 ,221 ,216 ,178 
ENSMUSG00000031189,24 ,24 ,32 ,49 ,24 ,27 
ENSMUSG00000078154,0 ,15 ,0 ,8 ,7 ,33 
ENSMUSG00000000568,9029 ,7033 ,6623 ,7531 ,7216 ,7043 
ENSMUSG00000034636,1931 ,1495 ,1370 ,1841 ,1322 ,1445 
ENSMUSG00000000552,1201 ,917 ,902 ,1459 ,748 ,1042 
ENSMUSG00000036578,4 ,4 ,5 ,9 ,8 ,3 
ENSMUSG00000108596,11 ,10 ,6 ,11 ,18 ,7 
ENSMUSG00000021702,49 ,38 ,34 ,51 ,32 ,57 
ENSMUSG00000087077,30 ,27 ,16 ,23 ,26 ,38 
ENSMUSG00000086477,12 ,1 ,8 ,5 ,5 ,3 
ENSMUSG00000033831,6 ,3 ,9 ,9 ,10 ,7 
ENSMUSG00000026520,7181 ,5528 ,5235 ,7581 ,5153 ,5858 
ENSMUSG00000097331,20 ,10 ,13 ,19 ,24 ,11 
ENSMUSG00000042198,211 ,159 ,129 ,181 ,126 ,149 
ENSMUSG00000062098,904 ,747 ,654 ,824 ,786 ,776 
ENSMUSG00000003868,7459 ,5820 ,5408 ,7167 ,5951 ,5909 
ENSMUSG00000045140,177 ,172 ,126 ,201 ,153 ,161 
ENSMUSG00000018476,1633 ,1246 ,1121 ,1499 ,1258 ,1342 
ENSMUSG00000084786,1176 ,923 ,924 ,1170 ,984 ,972 
ENSMUSG00000036327,902 ,773 ,710 ,898 ,689 ,700 
ENSMUSG00000042670,289 ,244 ,225 ,291 ,254 ,258 
ENSMUSG00000099098,14 ,2 ,5 ,14 ,6 ,9 
ENSMUSG00000016496,66 ,42 ,48 ,65 ,33 ,37 
ENSMUSG00000012422,1246 ,951 ,917 ,1206 ,857 ,921 
ENSMUSG00000113712,16 ,19 ,10 ,9 ,11 ,14 
ENSMUSG00000034818,445 ,333 ,333 ,386 ,378 ,399 
ENSMUSG00000039838,62 ,66 ,52 ,83 ,65 ,57 
ENSMUSG00000032036,9 ,10 ,4 ,3 ,3 ,9 
ENSMUSG00000019732,183 ,139 ,88 ,141 ,82 ,138 
ENSMUSG00000016386,112 ,86 ,98 ,87 ,97 ,81 
ENSMUSG00000026270,632 ,512 ,450 ,576 ,468 ,470 
ENSMUSG00000071042,32 ,15 ,15 ,34 ,18 ,23 
ENSMUSG00000051373,24 ,17 ,17 ,17 ,16 ,13 
ENSMUSG00000010461,24 ,10 ,13 ,24 ,16 ,18 
ENSMUSG00000024118,731 ,624 ,559 ,733 ,648 ,612 
ENSMUSG00000060445,7 ,16 ,9 ,20 ,14 ,10 
ENSMUSG00000050957,50 ,30 ,42 ,49 ,43 ,48 
ENSMUSG00000027523,8596 ,6643 ,6122 ,7733 ,7178 ,6827 
ENSMUSG00000085665,9 ,7 ,6 ,5 ,4 ,6 
ENSMUSG00000067872,17 ,15 ,15 ,18 ,9 ,10 
ENSMUSG00000027363,3533 ,2734 ,2638 ,3148 ,2741 ,2722 
ENSMUSG00000034006,187 ,152 ,145 ,191 ,164 ,164 
ENSMUSG00000028487,1137 ,822 ,850 ,887 ,1097 ,942 
ENSMUSG00000005034,1645 ,1245 ,1158 ,1586 ,1268 ,1301 
ENSMUSG00000040657,10 ,7 ,3 ,14 ,5 ,9 
ENSMUSG00000037326,1023 ,799 ,726 ,886 ,746 ,800 
ENSMUSG00000109390,40 ,26 ,23 ,43 ,33 ,28 
ENSMUSG00000074507,8 ,3 ,10 ,4 ,4 ,6 
ENSMUSG00000026500,150 ,149 ,124 ,146 ,137 ,104 
ENSMUSG00000000194,1377 ,1166 ,1040 ,1308 ,1298 ,1110 
ENSMUSG00000047694,586 ,446 ,391 ,512 ,420 ,412 
ENSMUSG00000052760,13 ,6 ,7 ,17 ,6 ,12 
ENSMUSG00000038683,3268 ,2552 ,2322 ,3141 ,2479 ,2708 
ENSMUSG00000027455,4809 ,3728 ,3539 ,4411 ,3652 ,3653 
ENSMUSG00000028899,872 ,753 ,669 ,929 ,740 ,723 
ENSMUSG00000019866,83 ,72 ,76 ,90 ,89 ,78 
ENSMUSG00000108358,12 ,11 ,10 ,6 ,11 ,7 
ENSMUSG00000024430,8 ,18 ,7 ,22 ,7 ,17 
ENSMUSG00000073902,12 ,6 ,11 ,8 ,17 ,13 
ENSMUSG00000038526,111 ,91 ,82 ,148 ,74 ,97 
ENSMUSG00000024885,100 ,64 ,63 ,69 ,70 ,60 
ENSMUSG00000040414,621 ,468 ,503 ,599 ,429 ,485 
ENSMUSG00000023052,11 ,11 ,12 ,7 ,5 ,13 
ENSMUSG00000071862,8 ,8 ,8 ,6 ,6 ,5 
ENSMUSG00000103697,17 ,10 ,18 ,28 ,13 ,17 
ENSMUSG00000055041,409 ,325 ,332 ,532 ,263 ,371 
ENSMUSG00000008206,683 ,595 ,470 ,594 ,561 ,493 
ENSMUSG00000085555,31 ,37 ,28 ,51 ,21 ,45 
ENSMUSG00000059146,7 ,3 ,8 ,4 ,17 ,5 
ENSMUSG00000066760,212 ,161 ,159 ,171 ,158 ,161 
ENSMUSG00000031196,53 ,38 ,45 ,64 ,43 ,49 
ENSMUSG00000085360,9 ,7 ,7 ,21 ,6 ,6 
ENSMUSG00000028322,1301 ,1005 ,982 ,1374 ,968 ,1078 
ENSMUSG00000108878,11 ,3 ,10 ,11 ,6 ,16 
ENSMUSG00000040123,959 ,791 ,696 ,980 ,800 ,758 
ENSMUSG00000021981,615 ,491 ,406 ,520 ,461 ,445 
ENSMUSG00000021288,1383 ,1066 ,990 ,1290 ,1114 ,1125 
ENSMUSG00000001089,3891 ,3209 ,2938 ,3422 ,3055 ,3203 
ENSMUSG00000028020,43 ,40 ,35 ,39 ,36 ,26 
ENSMUSG00000020265,5872 ,4510 ,4219 ,5450 ,4294 ,4419 
ENSMUSG00000009281,6 ,4 ,6 ,7 ,5 ,11 
ENSMUSG00000028669,860 ,649 ,614 ,777 ,584 ,662 
ENSMUSG00000020059,145 ,146 ,140 ,250 ,87 ,165 
ENSMUSG00000020680,6609 ,4867 ,4649 ,5921 ,4576 ,5076 
ENSMUSG00000058427,26 ,25 ,26 ,30 ,35 ,27 
ENSMUSG00000071235,585 ,453 ,465 ,635 ,213 ,437 
ENSMUSG00000032328,1541 ,1162 ,1153 ,1483 ,1200 ,1281 
ENSMUSG00000112833,10 ,15 ,12 ,21 ,10 ,18 
ENSMUSG00000026064,3343 ,2696 ,2552 ,3258 ,2805 ,2734 
ENSMUSG00000096035,8 ,9 ,6 ,5 ,6 ,5 
ENSMUSG00000029559,1200 ,892 ,917 ,1156 ,842 ,887 
ENSMUSG00000066043,1549 ,1151 ,1080 ,1327 ,1143 ,1152 
ENSMUSG00000034973,565 ,473 ,415 ,557 ,489 ,469 
ENSMUSG00000045064,64 ,51 ,42 ,47 ,56 ,31 
ENSMUSG00000109901,1120 ,879 ,760 ,935 ,873 ,814 
ENSMUSG00000007659,2066 ,1605 ,1484 ,1743 ,1640 ,1555 
ENSMUSG00000038059,352 ,269 ,256 ,286 ,289 ,241 
ENSMUSG00000022489,2426 ,1740 ,1662 ,2432 ,930 ,1693 
ENSMUSG00000070315,11 ,5 ,11 ,23 ,9 ,6 
ENSMUSG00000047045,708 ,469 ,427 ,610 ,417 ,474 
ENSMUSG00000038206,595 ,469 ,432 ,548 ,479 ,528 
ENSMUSG00000031214,88 ,50 ,56 ,64 ,54 ,51 
ENSMUSG00000043051,31 ,20 ,25 ,41 ,18 ,33 
ENSMUSG00000052146,17972 ,14184 ,13127 ,17851 ,13945 ,14414 
ENSMUSG00000025511,725 ,626 ,539 ,750 ,502 ,549 
ENSMUSG00000041396,250 ,192 ,173 ,231 ,181 ,158 
ENSMUSG00000095677,1650 ,1319 ,1262 ,1711 ,1085 ,1262 
ENSMUSG00000059554,206 ,162 ,140 ,198 ,170 ,173 
ENSMUSG00000021518,970 ,672 ,649 ,785 ,707 ,677 
ENSMUSG00000025983,10 ,15 ,8 ,13 ,14 ,16 
ENSMUSG00000047594,9 ,4 ,6 ,8 ,7 ,11 
ENSMUSG00000025314,742 ,537 ,546 ,707 ,574 ,610 
ENSMUSG00000113894,14 ,12 ,15 ,10 ,20 ,22 
ENSMUSG00000025872,2496 ,1953 ,1867 ,2175 ,1952 ,1959 
ENSMUSG00000049285,23 ,29 ,8 ,26 ,22 ,26 
ENSMUSG00000112280,33 ,24 ,26 ,26 ,20 ,23 
ENSMUSG00000086782,41 ,24 ,26 ,29 ,42 ,34 
ENSMUSG00000032235,453 ,361 ,335 ,502 ,330 ,384 
ENSMUSG00000051285,1560 ,1235 ,1134 ,1357 ,1352 ,1331 
ENSMUSG00000020124,3507 ,2741 ,2485 ,3509 ,2556 ,2918 
ENSMUSG00000052914,152 ,128 ,85 ,171 ,94 ,137 
ENSMUSG00000094817,222 ,98 ,5 ,132 ,180 ,175 
ENSMUSG00000042133,3430 ,2674 ,2457 ,3186 ,2733 ,2803 
ENSMUSG00000110440,14 ,19 ,23 ,16 ,19 ,10 
ENSMUSG00000031508,5325 ,4138 ,3941 ,4771 ,4688 ,4252 
ENSMUSG00000020212,725 ,564 ,500 ,671 ,616 ,565 
ENSMUSG00000097056,41 ,16 ,27 ,28 ,20 ,20 
ENSMUSG00000106365,6 ,14 ,9 ,16 ,16 ,8 
ENSMUSG00000023505,2936 ,2326 ,2280 ,2640 ,2356 ,2291 
ENSMUSG00000067719,169 ,134 ,119 ,157 ,123 ,107 
ENSMUSG00000111632,7 ,7 ,11 ,7 ,15 ,12 
ENSMUSG00000034145,29 ,23 ,26 ,31 ,19 ,15 
ENSMUSG00000074461,44 ,34 ,14 ,26 ,34 ,47 
ENSMUSG00000033083,229 ,204 ,176 ,268 ,182 ,205 
ENSMUSG00000062997,16526 ,12995 ,12845 ,17421 ,12831 ,13425 
ENSMUSG00000040554,20 ,17 ,16 ,21 ,16 ,28 
ENSMUSG00000032059,586 ,449 ,416 ,596 ,457 ,460 
ENSMUSG00000087381,12 ,6 ,8 ,18 ,7 ,10 
ENSMUSG00000101335,36 ,41 ,60 ,62 ,63 ,40 
ENSMUSG00000098428,6 ,44 ,0 ,22 ,43 ,44 
ENSMUSG00000044982,90 ,74 ,78 ,90 ,69 ,59 
ENSMUSG00000033676,445 ,380 ,338 ,453 ,285 ,360 
ENSMUSG00000097545,73 ,55 ,48 ,56 ,92 ,50 
ENSMUSG00000036693,3978 ,3088 ,2888 ,4009 ,2930 ,3293 
ENSMUSG00000033313,47 ,35 ,38 ,38 ,54 ,45 
ENSMUSG00000025939,494 ,363 ,377 ,458 ,370 ,339 
ENSMUSG00000109378,69 ,63 ,39 ,56 ,68 ,67 
ENSMUSG00000051998,12 ,8 ,12 ,11 ,6 ,7 
ENSMUSG00000030243,847 ,711 ,580 ,746 ,638 ,650 
ENSMUSG00000035427,11 ,15 ,9 ,5 ,4 ,16 
ENSMUSG00000002043,222 ,173 ,160 ,243 ,175 ,176 
ENSMUSG00000041644,4 ,6 ,3 ,9 ,2 ,9 
ENSMUSG00000043165,13 ,5 ,2 ,11 ,6 ,10 
ENSMUSG00000036898,466 ,377 ,424 ,501 ,424 ,415 
